,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
44,Pakistan,1486361,2563.0,29801,29.0,1379921,4293.0,76639,1566,6524.0,131.0,25799168,113237,227834082,Asia,0.17243455661175178,0.09731217073252575,0.3111047661424096
45,Georgia,1461792,7727.0,15577,21.0,1270759,22517.0,175456,-1,367583.0,3917.0,15339360,3857249,3976762,Asia,0.528597775880563,0.13481414906593053,1.7719331517620573
46,S. Korea,1405246,54616.0,7102,21.0,792107,12387.0,606037,306,27371.0,138.0,15804065,307827,51340661,Asia,3.886579289320162,0.29569135454801465,1.5638038800313594
47,Kazakhstan,1291220,1311.0,13473,9.0,1224938,4892.0,52809,528,67461.0,704.0,11575012,604743,19140385,Asia,0.1015318845742786,0.06680026720106881,0.3993671516435934
48,Ireland,1255571,3494.0,6291,-1.0,1086445,14555.0,162835,67,249760.0,1251.0,11178132,2223573,5027103,Europe,0.2782797627533608,-0.01589572405023049,1.33969045832969
49,Slovakia,1249673,8552.0,18105,10.0,990046,7782.0,241522,230,228713.0,3314.0,6023538,1102419,5463926,Europe,0.68433902308844,0.055233360950013806,0.7860240837294429
50,Morocco,1155534,369.0,15802,21.0,1126340,2970.0,13392,293,30717.0,420.0,11237010,298706,37618981,Africa,0.03193328798633359,0.132894570307556,0.26368592076992736
51,Cuba,1061524,792.0,8476,4.0,1048238,846.0,4810,37,93812.0,749.0,12908470,1140786,11315416,North America,0.0746097120743384,0.04719207173194903,0.08070686237285807
52,Norway,1049811,14058.0,1513,-1.0,88952,-1.0,959346,25,191226.0,276.0,9852076,1794583,5489897,Europe,1.3390981805296382,-0.06609385327164573,-0.0011242018167101357
53,Bulgaria,1042954,6130.0,34591,187.0,751596,7426.0,256767,605,151952.0,5040.0,8896561,1296174,6863707,Europe,0.587753630553217,0.540603047035356,0.9880308037828833
54,Lebanon,1020204,3717.0,9855,15.0,682977,-1.0,327372,186,150563.0,1454.0,4795578,707737,6775928,Asia,0.364338896926497,0.15220700152207,-0.0001464178149483804
55,Croatia,1018367,452.0,14537,64.0,972830,6477.0,31000,171,250567.0,3577.0,4409465,1084939,4064253,Europe,0.04438478466014708,0.4402558987411433,0.6657895007349691
56,Nepal,973541,482.0,11900,8.0,940902,2319.0,20739,100,32468.0,397.0,5346465,178304,29985050,Asia,0.04950998468477444,0.06722689075630252,0.24646562553804754
57,Tunisia,967052,-1.0,27119,-1.0,889891,-1.0,50042,200,80461.0,2256.0,4206888,350023,12018884,Africa,-0.0001034070556702225,-0.003687451602197721,-0.00011237331313610319
58,Bolivia,883734,352.0,21301,17.0,753224,2863.0,109209,220,74071.0,1785.0,2666178,223470,11930828,South America,0.03983098986799195,0.07980845969672785,0.3800994126581203
59,UAE,869428,1191.0,2287,2.0,803597,2713.0,63544,-1,86219.0,227.0,131931012,13083335,10083898,Asia,0.1369866164880818,0.08745080891998251,0.33760703437170625
60,Slovenia,851548,3771.0,6099,18.0,704931,8566.0,140518,136,409516.0,2933.0,2544196,1223524,2079401,Europe,0.4428405680008643,0.2951303492375799,1.215154390997133
61,Belarus,838571,6605.0,6265,12.0,823890,5990.0,8416,-1,88791.0,663.0,12153269,1286838,9444288,Europe,0.7876494655789432,0.19154030327214686,0.7270388037237981
62,Lithuania,820541,4546.0,8143,24.0,701667,1069.0,110731,96,308387.0,3060.0,7570924,2845405,2660754,Europe,0.5540247227134293,0.29473167137418643,0.15235147156699688
